Õs iustī meditābitur sapientiam,                        Устата на справедливия
Et lingua eius loquētur iūdicium.                       И езикът негов ще изрече присъдата

Beātus vir quī suffert tentātiōnem,                     Блажен мъж който претърпява изкушенията
Quoniam cum probātus fuerit accipiet coronam vitae.     Заради което изпитан ще получи короната на живота

Kyrie, fōns bonitātis                                   Господи, извор на добрината
Kyrie, ignis divine, eleison                            Господи, огън божествен, помилуй

O quam sancta, quam serēna                              О, колко свята, колко чиста,
quam benigna, quam amoena esse Virgo creditur           колко благородна, колко прелестна е
O quam sancta, quam serēna, quam benigna, quam amoena   О, колко свята, колко чиста, колко , колко прелестна
O castitātis lilium                                     О, лилиум на девствеността

Kyrie, fons bonitatis                                   Господи, извор на добрината
Kyrie, ignis divine, eleison                            Господи, огън божествен, помилуй

O quam sancta, quam serēna                              О, колко свята, колко чиста,
quam benigna, quam amoena esse Virgo creditur           колко благородна, колко прелестна е
O quam sancta, quam serēna, quam benigna, quam amoena   О, колко свята, колко чиста, колко , колко прелестна
O castitātis lilium                                     О, лилиум на девствеността
