Germānī, -ōrum, m pl - германци
Rōmānī, -ōrum, m pl - римляни
Graecī, -ōrum, m pl - гърци
Iūdaeī, -ōrum, m pl - юдеи
Rutulī, -ōrum, m pl - рутули (!!!)
Volscī, -ōrum, m pl - волски (!!!)
Cheruscī, -ōrum, m pl - херуски (!!!)
Scillitānī, -ōrum, m pl - сцилианци (Сцилиум)
Trōiānī, -ōrum, m pl - троянци
Aeneadae, -ārum, m pl - енеиди, троянците последвали Еней към Италия
Aegyptī, -ōrum, m pl - египтяни
Hebraeī, -ōrum, m pl - евреи
Madiānītae, -ārum, f pl - мадиамци
Amālēcītae, -ārum, f pl - амаличани
Philistaeī, -ōrum, m pl - филистимци
Sabaeī, -ōrum, m pl - сабеи
Assyriī, -ōrum, m pl - асирийци
Isrāēlītae, -ārum, m pl - израилтяни
Mēdī, -ōrum, m pl - мидийци
Arabēs, -um, m pl - араби
Babylōniī, -ōrum, m pl - вавилонци
Persae, -ārum, m pl - перси
