Barca, -ae, m - Барка
Flaccus, -ī, m - Флак
Maecēnās, -ātis, m - Меценат
Nāsīca, -ae, m - Назика
Paulus, -ī, m - Павел
Praetextātus, -ī, m - Претекстат
Phaedrus, -ī, m - Федър
Sāturnīnus, -ī, m - Сатурнин
Secundus, -ī, m - Секунд
Xenophōn, -ontis, m - Ксенофонт
Tacitus, -ī, m - Тацит
Trāiānus, -ī, m - Траян
Vārus, -ī, m - Вар
Renātus, -ī, m - Ренат
Ceriālis, -is, m - Цериал
Mūrēna, -ae, m - Мурена
Pūblicola, -ae, m - Публикола
Brūtus, -ī, m - Брут
Tricipitīnus, -ī, m - Трикипитин
Pūblicola, -ae, m - Публикола
Tūbertus, -ī, m - Туберт
Cincinnātus, -ī, m - Цинцинат
Fēstus, -ī, m - Фестус
Rūfus, -ī, m - Руф
Fuscus, -ī, m - Фуск
Columella, -ae, f - Колумела
Nerva, -ae, f - Нерва
