Appius, -ī, m - Апий
Aulus/Õlus, -ī, m - Авъл
Cornēlius, -ī, m - Корнелий
Decimus, -ī, m - Децим
Cāius/Gāius, -ī, m - Гай
Cnaeus/Gnaeus, -ī, m - Гней
Jūlius, -ī, m - Юлий
Kaesō/Caesō, -ōnis, m - Кезо
Lūcius, -ī, m - Луций
Lucumō, -ōnis, m - Лукумон, име-титла на етруски жреци и принцове
Māmercus, -ī, m - Мамерк, преномен използван от Емилиите
Mārcius, -ī, m - Марций
Mārcus, -ī, m - Марк
Pūblius, -ī, m - Публий
Quīntus, -ī, m - Квинт
Servius, -ī, m - Сервий
Sextus, -ī, m - Секст
Spurius, -ī, m - Спурий
Mānius, -ī, m - Маний
Tiberius, -ī, m - Тиберий
Arrūns, Arruntis, m - Арунт
Opiter, Opitris, m - Опитер
Numerius, -ī, m - Нумерий
Numasios, Numasioī, m - Нумазий (ранна форма на прономена Нумерий)
