Rōma, -ae, f - Рим
Tūsculum, -ī, n - Тускулум
Brundisium, -ī, n - Брундизи
Õstia, -ae, f - Остия
Alba Longa, -ae, f - Алба Лонга
Vēiī, -ōrum, m pl - Вейи
Gabiī, -ōrum, m pl - Габий
Tarquinia, -ae, f - Тарквиния
Ardea, -ae, f - Ардеа
Collātia, -ae, f - Колация
Coriolī, -ōrum, m pl - Кориоли
Tarentum, -ī, n - Тарент (дн. Таранто), Тарас
Maleventum, -ī, n - Малевентум (дн. Беневенто)
Venusia, -ae, f - Венузия (дн. Веноза)
Antium, -ī, n - Антиум
Caere, indecl, n - Кере, Цере, Кисра, Кайсра, Агила
Cūmae, -ārum, f pl - Куме
Capua, -ae, f - Капуа
Casilīnum, -ī, n - Казилинум (дн. част от Капуа)
Cāiēta, -ae, f - Гаета
Lilybaeum, -ī, n - град Лилебеум (дн. Марсала)
Tauromenium, -ī, n - Тауромениум (дн. Таормина)
Agrigentum, -ī, n - Агригентум (дн. Агригенто)
Catina, -ae, f - Катина (дн. Катана)
Drepanum, -ī, n - Дрепана (дн. Трапани)
Segesta, -ae, f - Сегеста
Acesta, -ae, f - Акеста, Сегеста
Lavinium, -ī, n - Лавиниум
Laurentum, -ī, n - Лаурентум
Crustumerium, -ī, n - Крустумериум
Crustumium, -ī, n - Крустумериум
Caenīna, -ae, f - Ценина
Fīdēnae/Fidēnae, -ārum, f pl - Фиденa
Antemnae, -ārum, f pl - Антемнa
Curēs, -ium, f pl - Кури
Clūsium, -ī, n - Клузиум (дн. Киузи)
Tarquiniī, -ōrum, m pl - Тарквиния
(Suessa) Pōmētia, -ae, f - (Суеса) Помеция
Apiolae, -ae, f - Апиоле
Marruvium/Marrubium, -ī, n - Марувиум (главен град на марсите на брега на Лаго Фучино)
Ferentīnum, -ī, n - Ферентинум (дн. Ферентино)
Faleriī, -ōrum, m pl - Фалерии (дн. Чивита Кастелана)
Sūtrium, -ī, n - Сутриум (дн. Сутри)
Velītrae, -ārum, f pl - Велитре (дн. Велетри)
Praeneste, -is, n - Пренест (дн. Палестрина)
Faesulae, -ārum, f pl - Фесуле (дн. Фиезоле)
Arīminum, -ī, n - Ариминум
Arpīnum, -ī, n - Арпинум (дн. Арпино)
Fregellae, -ārum, f pl - Фрагеле
Caudium, -ī, n - Каудиум (дн. Монтесаркио)
Sālernum, -ī, n - Салернум (дн. Салерно)
Canusium, -ī, n - Канизиум (дн. Каноза)
Cannae, -ārum, f pl - Кана
Venusia, -ae, f - Венузия (дн. Веноза)
Beneventum, -ī, n - Беневентум (дн. Беневенто)
Nola, -ae, f - Нола
Neāpolis, -is, f - Неапол в Италия, Кавала в Гърция, Набеул в Тунис, Наблус в Палестина, Симферопол в Крим
Mediolānum, -ī, n - Медиоланум (дн. Минално)

Sparta, -ae, f - Спарта
Delphī, -ōrum, m pl - Делфи
Athē­nae, -ārum, f pl - Атина
Trōia, -ae, f - Троя
Īlium, -ī, n - Илион, Троя
Dardania, -ae, f - Дардания, Троя
Corinthus, -ī, f - Коринт
Anthēdōn, -ōnis, f - Антедон
Syrācūsae, -ārum, f pl - Соракуза
Thēbae, -ārum, f pl - Тива
Larissa, -ae, f - Лариса
Epidamnus, -ī, f - Епидамн, Дирахиум
Dyrrachium, -ī, n - Дирахиум (дн. Драч, Дуръс), Епидамн
Clazomenae, -ārum, f pl - Клазомена (дн. Урла)
Actium, -ī, n - Акциум
Pharsālus, -ī, f - Фарсала
Argī, -ōrum, m pl - Аргос
Būthrōtum, -ī, n - Бутринт
Paphus, -ī, f - Пафос
Mytilēnae, -ārum, f pl - Митилена
Cydōnia, -ae, f - Кидония
Ephesus, -ī, m - Ефес
Iōlcus, -ī, m - Йолк
Marathōn, -ōnis, m - Маратон
Leuctra, -ae, f - Левктра
Chaerōnēa, -ae, f - Херонея
Citium, -ī, n - Китион

Saguntum, -ī, n - Сагунт
Massilia, -ae, f - Масилия (дн. Марсилия)
Tarracō, -ōnis, m - Тарако (дн. Тарагона)
Cȳrēnae, -ārum, f pl - Кирена

Eburacum, -ī, n - Ебуракум (дн. Йорк)

Bethlehem, indecl, n - Витлеем
Harān, indecl, ??? - Харан/Кара
Ierichō, indecl, ??? - Ерихон
Galgala, -ōrum, n pl - Галгал
Iābēs, indecl, ??? - Явис
Hierosolyma, -ae, f - Иерусалим
Hierosolyma, -ōrum, n pl - Иерусалим
Rages, -is, f - Рага (дн. Рей)
Ecbatana, -ōrum, n pl - Екбатана
Nīnivē, -ēs, f - Ниневия
Babylon, -ōnis, f - Вавилон
Nazareth, indecl, ??? - Назарет
Cana, -ae, f - Кана
Capharnāum, -ī, n - Капернаум
Naim, indecl, ??? - Наин
Ãrimāthaea, -ae, f - Ариматея
Tiberias, -adis, f - Тиберия
Bēthania, -ae, f - Витания
Emmaus, indecl, ??? - Емаус
Tyrus, -ī, f - Тир
Ascalōn, -ōnis, f - Ашкелон

Karthagō/Carthagō, -inis, f - Картаген
Utica, -ae, f - Утика
Scillium, -ī, n - Сцилиум, Схеле
Hadrūmētum, -ī, n - Хадруметум (дн. Сус)
Clypea, -ae, f - Клипеа
Zama, -ae, f - Зама

Alexandrīa, -ae, f - Александрия
