Rōma, -ae, f - Рим
Tūsculum, -ī, n - Тускулум
Brundisium, -ī, n - Брундизи
Õstia, -ae, f - Остия
Alba Longa, -ae, f - Алба Лонга
Veiī, -ōrum, m pl - Вейи
Gabiī, -ōrum, m pl - Габий
Tarquinia, -ae, f - Тарквиния
Ardea, -ae, f - Ардеа
Collātia, -ae, f - Колатия
Coriolī, -ōrum, m pl - Кориоли
Tarentum, -ī, n - Тарент (дн. Таранто), Тарас
Maleventum, -ī, n - Малевентум (дн. Беневенто)
Venusia, -ae, f - Венузия (дн. Веноза)

Sparta, -ae, f - Спарта
Delphī, -ōrum, m pl - Делфи
Athē­nae, -ārum, f pl - Атина
Trōia, -ae, f - Троя
Corinthus, -ī, f - Коринт
Anthēdōn, -ōnis, f - Антедон
Syrācūsae, -ārum, f pl - Соракуза
Thēbae, -ārum, f pl - Тива
Larissa, -ae, f - Лариса
Epidamnus, -ī, f - Епидамн, Дирахиум
Dyrrachium, -ī, n - Дирахиум (дн. Драч, Дуръс), Епидамн
Clazomenae, -ārum, f pl - Клазомена (дн. Урла)

Saguntum, -ī, n - Сагунт
Massilia, -ae, f - Масилия (дн. Марсилия)
Tarracō, -ōnis, m - Тарако (дн. Тарагона)

Bethlehem, indecl, n - Витлеем
Harān, indecl, ??? - Харан/Кара
Ierichō, indecl, ??? - Ерихон
Galgala, -ōrum, n pl - Галгал
Iābēs, indecl, ??? - Явис
Hierosolyma, -ae, f - Иерусалим
Rages, -is, f - Рага (дн. Рей)
Ecbatana, -ōrum, n pl - Екбатана
Nīnivē, -ēs, f - Ниневия
Babylon, -ōnis, f - Вавилон
Nazareth, indecl, ??? - Назарет
Cana, -ae, f - Кана
Capharnāum, -ī, n - Капернаум
Naim, indecl, ??? - Наин
Ãrimāthaea, -ae, f - Ариматея
Tiberias, -adis, f - Тиберия
Bēthania, -ae, f - Витания
Emmaus, indecl, ??? - Емаус

Carthagō, -inis, f - Картаген
Utica, -ae, f - Утика
Scillium, -ī, n - Сцилиум, Схеле

Cannae, -ārum, f pl - Кана
Zama, -ae, f - Зама
