Iēsūs, -ū, m - Иисус, Ису̀с
Christus, -ī, m - Христос
Petrus, -ī, m - Петър
Paulus, -ī, m - Павел

Matthaeus, -ī, m - Матей
Iōannēs, -is, m - Йоан
Lūcās, -ae, m - Лука

Quīntus Septimius Flōrens Tertulliānus - Тертулиан, хирстиянски апологет живял края на II-началото на III век сл. Хр.

Spērātus, -ī, m - Сперат
Nartzalus, -ī, m - Нарзал
Cittīnus, -ī, m - Китиний
Veturius, -ī, m - Ветурий
Aquīlīnus, -ī, m - Аквилин
Leatantius, -ī, m - Леантий
Fēlīx, -īcis, m - Феликс
Dōnāta, -ae, f - Доната
Secunda, -ae, f - Секунда
Vestia, -ae, f - Вестия
Iānuāria, -ae, f - Януария
Generōsa, -ae, f - Генероса
