Rōma, -ae, f - Рим
Tūsculum, -ī, n - Тускулум
Brundisium, -ī, n - Брундизи
Õstia, -ae, f - Остия
Alba Longa, -ae, f - Алба Лонга
Veiī, -ōrum, m pl - Вейи
Gabiī, -ōrum, m pl - Габий
Tarquinia, -ae, f - Тарквиния
Ardea, -ae, f - Ардеа
Collātia, -ae, f - Колатия
Coriolī, -ōrum, m pl - Кориоли
Tarentum, -ī, n - Тарент (дн. Таранто), Тарас

Sparta, -ae, f - Спарта
Delphī, -ōrum, m pl - Делфи
Athē­nae, -ārum, f pl - Атина
Trōia, -ae, f - Троя
Corinthus, -ī, f - Коринт
Anthēdōn, -ōnis, f - Антедон
Syrācūsae, -ārum, f pl - Соракуза
Thēbae, -ārum, f pl - Тива
Larissa, -ae, f - Лариса
Epidamnus, -ī, f - Епидамн, Дирахиум
Dyrrachium, -ī, n - Дирахиум (дн. Драч, Дуръс), Епидамн

Saguntum, -ī, n - Сагунт
Massilia, -ae, f - Масилия (дн. Марсилия)
Tarracō, -ōnis, m - Тарако (дн. Тарагона)

Bethlehem, indecl, n - Витлеем

Carthagō, -inis, f - Картаген
Utica, -ae, f - Утика

Cannae, -ārum, f pl - Кана
Zama, -ae, f - Зама
